Id,name,hero_image,review,location,price,description
7dcf0f20-d1c6-4d8a-8cf5-de60f5c420be,Karimun Jawa,https://storage.googleapis.com/alterra-greeve/greeve/e0778c87-83c3-4bad-a3f3-73135fde7bc2karimunjawa_169.jpeg,4.5,Kab.Jepara Jawa Tengah,<ul><li>Tiket Kapal Express PP: 440.000</li><li>Sewa Motor: 100.000/day</li><li>Penginapan Kamar Fan: 150.000/malam</li><li>Makan: 50.000-75.000/porsi x3/6/9 sesuai durasi trip</li><li>Tour Snorkeling: 220.000/day</li><li>Tiket Masuk spot wisata: 150.000/org</li><li>Retribusi/lain-lain: 150.000</li></ul>,"Karimun jawa merupakan sebuah pulau yang berada di utara Pulau Jawa. Secara administratif, Pulau ini masuk wilayah Kabupaten Jepara, Jawa Tengah. Lokasi Pulau Karimunjawa ini berjarak kurang lebih 72 kilometer arah barat laut dari Kota Jepara, teman-teman. Untuk menuju ke Pulau Karimunjawa, hanya ada dua jalur yang bisa ditempuh, yakni melalui jalur laut maupun udara. Jalur laut bisa ditempuh dengan menyeberang Pelabuhan Tanjung Mas Semarang dengan kepala cepat dan dari Pelabuhan Kartini dengan kapal feri."
7fbf0a60-57bf-419f-900a-a993d3168cec,Gunung Prau,https://storage.googleapis.com/alterra-greeve/greeve/91b0b61e-4cff-40d6-af00-69e0db6df426Prau.jpeg,4.5,"Kab.Dieng, Jawa Tengah",<ul><li>Retribusi: Rp 20.000</li><li>Fasilitas basecamp: Rp 10.000</li><li>Parkir roda dua: Rp 10.000 (menginap)</li><li>Parkir roda empat: Rp 20.000 (menginap)</li></ul>,"Gunung Prau terletak di daerah Dieng, Jawa Tengah. Area puncak gunung ini dipenuhi dengan padang rumput, sabana, dan beberapa pepohonan yang membuat pemandangan di atas sangat asri. Bagi yang suka berwisata ke Dieng, maka gunung ini termasuk salah satu bagian puncak tertinggi dibandingkan wilayah sekitarnya. Selain Prau, di sekitar Dieng juga ada gunung yang lebih rendah seperti Gunung Juranggrawah, Gunung Pengamun, dan Gunung Sipandu."
7c45085a-2466-4f5e-9ccd-bdd139751dac,Gunung Merbabu,https://storage.googleapis.com/alterra-greeve/greeve/44eacd7f-9682-454a-8024-850911be4d7esabanaMerbabu.jpg,5,"Boyolali, Kabupaten Magelang, Jawa Tengah",<ul><li><b>Wisatawan lokal</b> - Weekdays: Rp5.000 per hari</li><li><b>Wisatawan lokal</b> - Weekend: Rp7.500 per hari</li><li><b>Wisatawan asing</b> - Weekdays: Rp150.000 per hari</li><li><b>Wisatawan asing</b> - Weekend: Rp225.000 per hari</li></ul>,"Taman Nasional Gunung Merbabu merupakan taman nasional yang mencakup kawasan hutan di Gunung Merbabu. Secara administratif, taman nasional ini termasuk ke dalam wilayah 3 kabupaten yaitu Kabupaten Boyolali, Kabupaten Magelang, dan Kabupaten Semarang, provinsi Jawa Tengah. Secara geografis Taman Nasional Gunung Merbabu terletak antara 110º26’22” Bujur Timur dan 7º27’13” Lintang Selatan. Serupa dengan Taman Nasional Gunung Merapi, Taman Nasional Gunung Merbabu juga pernah mencicipi dikelola oleh pemerintahan Belanda, tepatnya di awal abad 20."
b3b4ae7a-ed2e-4163-bf71-1a00b089c8a3,Lawang Sewu,https://storage.googleapis.com/alterra-greeve/greeve/46971ec0-bd9c-4454-b03f-c369868c00ealawang-sewu.jpg,4.6,"Semarang, Jawa Tengah",<ul><li>Dewasa: Rp 20.000/org</li><li>Anak: Rp 10.000/org</li></ul>,"Lawang Sewu merupakan Gedung megah berarsitektur art deco, yang digunakan Belanda sebagai Kantor Pusat Kereta Api (Trem) atau Nederlandsch Indische Spoorweg Maschaappij (NIS) yang terletak di Komplek Tugu Muda. Bangunan karya arsitek Belanda Prof. Jacob F. Klinkhamer dan B.J. Queendag ini menurut sejarah dibangun tahun 1903, kemudian diresmikan pada tanggal 1 Juli 1907. Masyarakat Semarang lebih mengenal gedung ini dengan sebutan Gedung Lawang Sewu, karena gedung ini memiliki jumlah pintu yang banyak, yang dalam bahasa jawa Lawang Sewu yaitu Lawang berarti Pintu dan Sewu yang berarti Seribu. Sekarang Gedung Lawang Sewu ini digunakan sebagai daya tarik wisata berupa peninggalan sejarah arsitek bangunan kuno dan antik, ruang bawah tanah dan menara informasi, sering pula digunakan sebagai tempat pameran dalam even-even tertentu."
7dc84308-0330-41f1-8072-ca635e5055c8,Solo Safari,https://storage.googleapis.com/alterra-greeve/greeve/4ed126f1-08fc-4fba-9e13-a80823a48a85solo_safari.jpg,4.8,"Jalan. Ir. Sutami No.109 Kentingan Kentingan , Kecamatan Jebres, Kota Surakarta, Jawa Tengah",<ul><li>Rp 75.000</li></ul>,"Jelajahi petualangan seru bersama keluarga dan sahabat tercinta hanya di Solo Safari! Solo Safari adalah kawasan wisata edukasi satwa seluas 13,9 hektare di Surakarta, Jawa Tengah. Di sini, kamu tidak hanya akan mengenal lebih dekat satwa endemik Indonesia, tetapi kamu juga bisa berbagi keceriaan di berbagai area hiburan yang tersedia!"
cc8d605c-db48-40ec-b62c-826a6aa5f9a2,Dieng Plateau,https://storage.googleapis.com/alterra-greeve/greeve/6169d61c-ba18-4520-9126-061bf6a78dbbkomplek-candi-arjuna-dieng.jpg,4.8,"Kab. Banjarnegara, Jawa Tengah",<ul><li>Domestik: Rp 15.000</li><li>Asing: Rp 30.000</li></ul>,"Dieng Plateau, atau dataran tinggi Dieng, merupakan salah satu situs bersejarah paling terkenal di Jawa Tengah, Indonesia. Dataran ini sudah sangat akrab bagi masyarakat Indonesia, karena terkenal dengan pesona alamnya yang indah di Pulau Jawa, dikelilingi oleh pegunungan hijau dan hamparan awan yang memunculkan udara dingin yang segar.<br>Selain keindahan alamnya yang tak tertandingi, Dieng juga menyimpan banyak objek wisata geologi dan sejarah yang menarik untuk dikunjungi. Beberapa tempat wisata di Dieng antara lain kawah, telaga, dan kompleks kawasan Candi Hindu yang mampu menarik para wisatawan untuk kembali berkunjung. Keindahannya tidak hanya terkenal di dalam negeri, namun namanya juga telah meraih ketenaran hingga di luar negeri."
809db141-0071-478e-bf49-9666968c82b5,Candi Borobudur,https://storage.googleapis.com/alterra-greeve/greeve/beb1910a-3d36-4f50-b4f9-795c2668c010borobudur.jpg,4.5,"Kab.Magelang, Provinsi Jawa Tengah, Indonesia.",<ul><li>Rp 50.000</li></ul>,"Candi Borobudur adalah sebuah candi Buddha yang terletak di Borobudur, Magelang, Jawa Tengah, Indonesia. Candi ini terletak kurang lebih 100 km di sebelah barat daya Semarang, 86 km di sebelah barat Surakarta, dan 40 km di sebelah barat laut Yogyakarta. Candi dengan banyak stupa ini didirikan oleh para penganut agama Buddha Mahayana sekitar tahun 800-an Masehi pada masa pemerintahan wangsa Syailendra. Borobudur adalah candi atau kuil Buddha terbesar di dunia,sekaligus salah satu monumen Buddha terbesar di dunia.<br>Monumen ini terdiri atas enam teras berbentuk bujur sangkar yang di atasnya terdapat tiga pelataran melingkar, pada dindingnya dihiasi dengan 2.672 panel relief dan aslinya terdapat 504 arca Buddha. Borobudur memiliki koleksi relief Buddha terlengkap dan terbanyak di dunia. Stupa utama terbesar terletak di tengah sekaligus memahkotai bangunan ini, dikelilingi oleh tiga barisan melingkar 72 stupa berlubang yang di dalamnya terdapat arca Buddha tengah duduk bersila dalam posisi teratai sempurna dengan mudra (sikap tangan) Dharmachakra mudra (memutar roda dharma)."
5d502c20-9e83-4e84-9d93-db901a3508b5,Taman Air Panas Guci,https://storage.googleapis.com/alterra-greeve/greeve/7619c661-c99e-486a-9ca1-66e06fb24c3bguci.jpeg,4.7,"Kab.Tegal , Jawa Tengah",<ul><li>Rp 10.000 - Rp 25.000</li></ul>,"Terletak di lereng gunung Slamet pada ketinggian antara 1.050 m – 1.250 m dpl, tepatnya di Desa Rembul Kec. Bojong dan Desa Guci Kec. Bumijawa, sumber air panas Guci kaya mineral berkhasiat untuk kesehatan, tidak menimbulkan bau, berwarna jernih, tidak berasa dan mengalir terus menerus. Selain pemandian umum terbuka, tersedia pula fasilitas pemandian tertutup. Menurut mitos yang telah beredar selama ratusan tahun, air panas Guci adalah air yang diberikan Walisongo kepada orang yang mereka utus untuk menyiarkan agama Islam ke Jawa Tengah bagian barat di sekitar Tegal. Karena air itu ditempatkan di sebuah guci (poci), dan berkhasiat mendatangkan berkat, masyarakat menyebut lokasi pemberian air itu dengan nama Guci."
f5e9bae2-1e04-4e2f-8ed5-319849ba8b39,Pantai Karang Bolong,https://storage.googleapis.com/alterra-greeve/greeve/71e898b6-2a97-45b7-b73d-13cc6301cfeabatu-bolong-beach.jpg,4.8,"Karangbolong, Kec. Buayan, Kabupaten Kebumen, Jawa Tengah",<ul><li>Tiket Masuk Wisata: Rp 15.000</li></ul>,"Pantai Karangbolong berlokasi di Desa Karangbolong, Kecamatan Buayan. Pantai Karangbolong merupakan pantai landai berpasir yang cukup luas, yang dibatasi oleh perbukitan. Di kawasan pantai juga terdapat Gua Karangbolong di sisi timur. Gua Karangbolong berukuran panjang 30 m, lebar 10 m dan tinggi sekitar 5 m. Kawasan Karangbolong dikenal dengan sarang burung waletnya. Proses pengambilan sarang burung walet dilakukan secara tradisional yang dilakukan 4 kali dalam setahun didahului dengan serangkaian prosesi adat dan pertunjukkan kesenian daerah. Selain itu, di sekitar pantai juga tersedia deretan warung-warung makanan dan minuman sederhana. Bahkan kini telah dilengkapi wisata baru yang bernama Sagara View yang cukup menarik perhatian para wisatawan, baik sekitar Kebumen maupun luar daerah Kebumen."
08989b73-113e-4161-8047-9642db33fea3,Klenteng Sam Poo Kong,https://storage.googleapis.com/alterra-greeve/greeve/68c0a8ff-6d3d-488a-8424-33484786f856sampookong.jpeg,4.8,"Jl. Simongan Raya 129, Semarang 50236 Indonesia",<ul><li>Rp 40.000</li></ul>,"Klenteng Sam Poo Kong, juga dikenal sebagai Klenteng Gedung Batu, adalah klenteng Cina tertua di Semarang, ibukota provinsi Jawa Tengah. Bangunan ini meliputi area seluas 1.020 meter persegi dan dipengaruhi oleh gaya arsitektur Cina dan Jawa abad ke-14. Klenteng ini dicat dengan warna merah yang megah dan dimahkotai dengan atap pagoda berlapis tiga, khas budaya Asia Timur. <br>Pondasi klenteng pertama kali dibangun oleh Laksamana Cheng Ho, seorang penjelajah Muslim dari Cina Daratan. Setelah beberapa waktu, Cheng Ho meninggalkan Jawa, tetapi banyak krunya memutuskan untuk tetap tinggal dan menetap di daerah itu. Mereka menikah dengan penduduk setempat, dan sampai sekarang, Simongan dihuni oleh keturunan Cina. Pada 1704, kuil dan gua yang asli runtuh karena tanah longsor. Masyarakat setempat membangunnya kembali 20 tahun kemudian di lokasi yang berbeda, lebih dekat ke pusat kota dan lebih jauh dari daerah yang cenderung mengalami pembusukan oleh unsur-unsur alami. Itu berfungsi baik sebagai tempat ibadah, dan tempat suci menghormati Cheng Ho untuk jasanya kepada masyarakat"
